SD,SD_Sons,SD_Daughters,bw_Sons,bw_Daughters
SD5,46,47,3,7
SD5,50,43,3,2
SD5,48,42,10,13
SD5,56,44,14,9
SD5,27,12,3,0
SD5,40,19,6,2
SD5,28,25,1,1
SD5,26,20,6,2
SD5,35,45,0,4
SD5,44,34,8,8
SD5,27,18,4,2
SD5,37,36,1,9
SD5,30,20,7,5
SD5,29,21,3,7
SD5,40,37,4,8
SD5,27,25,6,2
SD72,53,48,3,6
SD72,47,36,6,3
SD72,40,54,8,6
SD72,73,54,6,7
SD72,47,40,3,7
SD72,42,40,6,2
SD72,63,54,5,11
SD72,46,31,7,2
SD72,43,44,1,5
SD72,12,14,7,3
SD72,45,40,3,11
SD72,42,18,2,3
SD72,25,26,6,5
SD72,51,36,5,11
SDMad ,26,26,9,12
SDMad ,11,14,2,2
SDMad ,59,63,12,16
SDMad ,26,21,2,1
SDMad ,51,52,19,17
SDMad ,31,32,8,12
SDMad ,47,46,14,16
SDMad ,55,44,13,9
SDMad ,59,56,18,13
SDMad ,46,44,15,15
SDMad ,41,37,6,4
SDMad ,34,27,6,4
SDMad ,42,27,6,4
SDMad ,52,44,6,5
SDMad ,37,40,0,8