SD,block,SD_males,SD_females,bw_males,bw_females
Mad,1,26,26,9,12
Mad,1,11,14,2,2
Mad,1,59,63,12,16
Mad,1,26,21,2,1
Mad,1,51,52,19,17
Mad,1,31,32,8,12
Mad,1,47,46,14,16
Mad,1,55,44,13,9
Mad,1,59,56,18,13
Mad,1,46,44,15,15
5,1,46,47,3,7
5,1,50,43,3,2
5,1,48,42,10,13
5,1,56,44,14,9
72,1,53,48,3,6
72,1,47,36,6,3
72,1,40,54,8,6
72,1,73,54,6,7
72,1,47,40,3,7
72,1,42,40,6,2
72,1,63,54,5,11
72,1,46,31,7,2
72,1,43,44,1,5
72,1,12,14,7,3
72,2,45,40,3,11
72,2,42,18,2,3
72,2,25,26,6,5
72,2,51,36,5,11
Mad,2,41,37,6,4
Mad,2,34,27,6,4
Mad,2,42,27,6,4
Mad,2,52,44,6,5
Mad,2,37,40,0,8
5-Cyogfp,2,24,21,2,2
5-Cyogfp,2,35,21,1,4
5-Cyogfp,2,31,18,2,0
5-Cyogfp,2,27,22,1,2
5-Cyogfp,2,43,40,6,14
5-Cyogfp,2,30,35,3,3
5-Cyogfp,2,19,20,1,1
5-Cyogfp,2,31,29,4,0
5-Cyogfp,2,32,76,1,9
5,2,27,12,3,0
5,2,40,19,6,2
5,2,28,25,1,1
5,2,26,20,6,2
5,2,35,45,0,4
5,2,44,34,8,8
5,2,27,18,4,2
5,2,37,36,1,9
5,2,30,20,7,5
5,2,29,21,3,7
5,2,40,37,4,8
5,2,27,25,6,2
5-Cyo,2,40,21,3,1
5-Cyo,2,36,22,2,5
5-Cyo,2,46,47,3,2
5-Cyo,2,28,19,2,2
5-Cyo,2,37,37,2,0