block,SD_parent,sex_of_embryos,SD,num_embryos,female_SD,female_cyo,male_SD,male_cyo
Pilot,mum,male,SD-5,50,3,0,17,15
Pilot,mum,male,SD-5,50,1,2,16,15
Pilot,mum,female,SD-5,50,25,14,0,0
Pilot,mum,female,SD-5,50,10,28,0,0
Pilot,mum,female,SD-5,21,7,5,0,0
Pilot,mum,male,SD-72,50,10,8,11,11
Pilot,mum,male,SD-72,50,8,8,15,10
Pilot,mum,male,SD-72,50,9,2,22,6
Pilot,mum,female,SD-72,50,22,20,1,0
Pilot,mum,female,SD-72,50,23,17,0,2
Pilot,mum,male,SD-Mad,50,3,2,17,20
Pilot,mum,female,SD-Mad,50,24,23,1,0
Pilot,mum,female,SD-Mad,50,26,20,0,0
Pilot,mum,female,SD-Mad,21,10,8,0,0
Pilot,mum,male,w1118,50,6,0,36,0
Pilot,mum,female,w1118,50,34,0,6,0
Pilot,mum,female,w1118,50,34,0,11,0
Pilot,dad,male,SD-5,50,3,6,15,16
Pilot,dad,male,SD-5,50,9,2,17,13
Pilot,dad,male,SD-5,50,5,6,6,4
Pilot,dad,female,SD-5,50,21,19,0,2
Pilot,dad,female,SD-5,50,21,23,1,1
Pilot,dad,female,SD-5,36,18,15,1,1
Pilot,dad,male,SD-Mad,50,4,8,20,16
Pilot,dad,male,SD-Mad,50,5,4,17,19
Pilot,dad,female,SD-Mad,50,26,17,2,2
Pilot,dad,female,SD-Mad,50,21,21,4,0
Pilot,dad,female,SD-Mad,31,12,16,0,1
Pilot,dad,male,SD-72,50,4,3,17,13
Pilot,dad,male,SD-72,19,3,3,1,10
Pilot,dad,female,SD-72,50,26,17,1,1
Pilot,dad,female,SD-72,50,18,27,0,0
Pilot,dad,male,w1118,50,2,0,45,0
Pilot,dad,male,w1118,45,3,0,34,0
Pilot,dad,female,w1118,50,48,0,0,0
Pilot,dad,female,w1118,50,48,0,1,0
1,mum,female,SD-5,50,13,23,0,0
1,mum,female,SD-5,50,18,22,0,0
1,mum,female,SD-5,50,16,20,0,0
1,mum,female,SD-5,50,19,21,0,0
1,mum,male,SD-5,50,0,1,11,27
1,mum,male,SD-5,50,0,0,11,15
1,mum,male,SD-5,50,0,0,9,15
1,mum,male,SD-5,50,0,1,20,15
1,mum,male,SD-5,50,1,0,10,15
1,mum,male,SD-5,50,0,1,12,20
1,mum,male,SD-5,47,1,0,14,15
1,mum,female,SD-72,50,24,18,0,1
1,mum,female,SD-72,50,23,21,0,0
1,mum,female,SD-72,50,23,21,0,0
1,mum,female,SD-72,50,21,20,0,0
1,mum,female,SD-72,28,17,8,0,0
1,mum,female,SD-72,50,30,17,0,0
1,mum,male,SD-72,50,0,3,21,14
1,mum,male,SD-72,50,0,1,17,17
1,mum,male,SD-72,50,1,0,21,17
1,mum,male,SD-72,50,0,1,15,23
1,mum,male,SD-72,50,1,0,27,20
1,mum,female,SD-Mad,50,24,20,0,0
1,mum,female,SD-Mad,50,27,22,1,0
1,mum,female,SD-Mad,50,16,28,0,0
1,mum,female,SD-Mad,50,25,27,0,0
1,mum,female,SD-Mad,26,13,11,0,0
1,mum,male,SD-Mad,50,0,1,20,11
1,mum,male,SD-Mad,50,0,1,30,17
1,mum,male,SD-Mad,50,0,0,26,16
1,mum,male,SD-Mad,50,0,0,26,18
1,mum,male,SD-Mad,50,0,1,15,19
1,mum,male,SD-Mad,24,0,0,10,10
1,mum,female,LHm,34,32,0,1,0
1,mum,male,LHm,50,7,0,40,0
1,mum,male,LHm,36,4,0,27,0
1,dad,female,SD-5,50,17,28,0,0
1,dad,female,SD-5,50,25,26,0,0
1,dad,female,SD-5,50,27,19,0,0
1,dad,male,SD-5,50,0,2,20,25
1,dad,male,SD-5,50,1,3,19,26
1,dad,male,SD-5,50,1,2,24,14
1,dad,male,SD-5,38,5,3,9,13
1,dad,female,SD-Mad,46,17,19,3,0
1,dad,male,SD-Mad,50,3,5,14,21
1,dad,male,SD-Mad,50,8,2,19,12
1,dad,female,SD-72,50,20,20,1,1
1,dad,female,SD-72,50,12,26,0,0
1,dad,male,SD-72,50,4,5,17,14
1,dad,male,SD-72,50,4,5,23,8
1,dad,male,SD-72,50,2,5,20,17
1,dad,female,LHm,50,50,0,0,0
1,dad,female,LHm,39,36,0,0,0
1,dad,male,LHm,50,6,0,40,0
1,dad,male,LHm,50,6,0,37,0
1,dad,male,LHm,43,3,0,36,0
2,mum,female,SD-5,50,20,22,0,0
2,mum,female,SD-5,50,18,23,0,0
2,mum,female,SD-5,50,18,21,0,0
2,mum,female,SD-5,50,22,21,0,0
2,mum,male,SD-5,50,0,1,17,12
2,mum,male,SD-5,50,0,0,22,15
2,mum,male,SD-5,50,0,0,17,21
2,mum,male,SD-5,50,0,0,14,21
2,mum,male,SD-5,37,0,0,9,11
2,mum,female,SD-72,50,22,25,0,0
2,mum,female,SD-72,50,22,13,0,0
2,mum,female,SD-72,50,24,20,0,0
2,mum,female,SD-72,50,19,26,0,0
2,mum,female,SD-72,50,22,17,0,0
2,mum,female,SD-72,50,23,20,0,0
2,mum,female,SD-72,50,26,21,0,0
2,mum,female,SD-72,50,26,22,0,0
2,mum,male,SD-72,50,1,0,17,19
2,mum,male,SD-72,50,1,0,28,13
2,mum,male,SD-72,50,0,1,20,17
2,mum,male,SD-72,50,1,0,20,15
2,mum,male,SD-72,50,0,0,24,17
2,mum,male,SD-72,50,0,0,20,20
2,mum,male,SD-72,50,0,1,16,19
2,mum,male,SD-72,50,1,0,23,17
2,mum,male,SD-72,27,0,0,14,8
2,mum,female,SD-Mad,50,19,23,1,0
2,mum,female,SD-Mad,50,16,21,0,0
2,mum,female,SD-Mad,50,19,23,0,0
2,mum,female,SD-Mad,50,21,18,1,0
2,mum,female,SD-Mad,50,17,31,0,0
2,mum,female,SD-Mad,50,19,15,1,0
2,mum,female,SD-Mad,50,19,25,0,1
2,mum,female,SD-Mad,50,17,24,0,1
2,mum,male,SD-Mad,50,1,0,25,18
2,mum,male,SD-Mad,50,1,0,14,24
2,mum,male,SD-Mad,50,0,1,20,21
2,mum,male,SD-Mad,50,1,1,24,21
2,mum,male,SD-Mad,50,0,0,23,21
2,mum,male,SD-Mad,50,0,0,19,19
2,mum,male,SD-Mad,50,0,0,15,24
2,mum,male,SD-Mad,50,0,0,16,18
2,mum,male,SD-Mad,50,0,0,26,16
2,mum,male,SD-Mad,50,0,0,22,19
2,mum,male,SD-Mad,50,0,1,16,18
2,mum,female,LHm,50,29,0,11,0
2,mum,male,LHm,36,5,0,32,0
2,dad,female,SD-5,50,21,14,0,0
2,dad,female,SD-5,50,18,20,0,5
2,dad,female,SD-5,40,13,13,1,2
2,dad,male,SD-5,50,4,1,14,22
2,dad,male,SD-5,50,6,9,13,17
2,dad,male,SD-5,43,2,6,19,13
2,dad,female,SD-Mad,50,20,24,2,3
2,dad,female,SD-Mad,50,17,19,1,2
2,dad,male,SD-Mad,50,2,11,15,17
2,dad,male,SD-Mad,42,3,5,14,10
2,dad,female,SD-72,50,16,14,7,10
2,dad,female,SD-72,50,17,18,5,4
2,dad,female,SD-72,50,15,11,10,8
2,dad,female,SD-72,49,15,10,3,4
2,dad,male,SD-72,50,2,9,9,7
2,dad,male,SD-72,11,2,2,3,4
2,dad,female,LHm,50,38,0,6,0
2,dad,female,LHm,50,40,0,5,0
2,dad,female,LHm,46,30,0,10,0
2,dad,male,LHm,50,1,0,45,0
2,dad,male,LHm,50,1,0,42,0
3,mum,female,SD-5,50,18,20,0,0
3,mum,female,SD-5,50,28,15,0,0
3,mum,female,SD-5,50,12,22,0,0
3,mum,female,SD-5,50,33,16,0,0
3,mum,female,SD-5,50,24,22,0,0
3,mum,female,SD-5,50,13,28,0,0
3,mum,female,SD-5,50,21,22,0,0
3,mum,male,SD-5,50,0,0,19,24
3,mum,male,SD-5,50,0,0,24,14
3,mum,male,SD-5,50,0,0,30,16
3,mum,male,SD-5,50,0,0,23,21
3,mum,male,SD-5,50,0,0,21,24
3,mum,male,SD-5,50,0,0,19,10
3,mum,female,SD-72,50,31,18,0,1
3,mum,female,SD-72,50,27,18,0,0
3,mum,female,SD-72,50,23,23,0,0
3,mum,female,SD-72,50,24,22,0,0
3,mum,female,SD-72,50,29,19,0,0
3,mum,female,SD-72,50,17,28,0,0
3,mum,female,SD-72,50,21,25,0,0
3,mum,male,SD-72,50,0,0,21,18
3,mum,male,SD-72,50,0,0,20,25
3,mum,male,SD-72,50,1,0,19,21
3,mum,male,SD-72,50,0,1,27,20
3,mum,male,SD-72,100,0,1,40,49
3,mum,male,SD-72,50,1,1,20,21
3,mum,male,SD-72,72,0,0,16,16
3,mum,female,SD-Mad,50,27,15,0,0
3,mum,female,SD-Mad,50,20,20,0,0
3,mum,female,SD-Mad,50,19,23,0,0
3,mum,female,SD-Mad,50,7,15,0,0
3,mum,male,SD-Mad,50,0,0,23,18
3,mum,male,SD-Mad,50,0,0,26,10
3,mum,male,SD-Mad,50,0,0,23,18
3,mum,female,LHm,50,49,0,0,0
3,mum,female,LHm,50,48,0,0,0
3,mum,female,LHm,50,46,0,0,0
3,mum,female,LHm,50,50,0,0,0
3,mum,female,LHm,50,47,0,0,0
3,mum,female,LHm,50,46,0,0,0
3,mum,female,LHm,50,45,0,0,0
3,mum,female,LHm,50,44,0,0,0
3,mum,male,LHm,50,0,0,45,0
3,mum,male,LHm,50,0,0,43,0
3,mum,male,LHm,50,1,0,47,0
3,mum,male,LHm,50,0,0,41,0
3,mum,male,LHm,50,1,0,49,0
3,mum,male,LHm,50,0,0,48,0
3,mum,male,LHm,50,0,0,46,0
3,mum,male,LHm,50,0,0,47,0
3,mum,male,LHm,50,0,0,48,0
3,mum,male,LHm,29,1,0,20,0
3,dad,female,SD-5,50,20,21,0,0
3,dad,female,SD-5,50,18,25,0,0
3,dad,female,SD-5,50,14,21,0,0
3,dad,female,SD-5,50,20,24,0,0
3,dad,female,SD-5,50,19,23,0,0
3,dad,female,SD-5,50,18,19,0,0
3,dad,female,SD-5,50,14,23,0,0
3,dad,male,SD-5,50,0,1,25,18
3,dad,male,SD-5,50,0,0,17,27
3,dad,male,SD-5,50,1,0,18,21
3,dad,male,SD-5,50,0,0,18,19
3,dad,male,SD-5,50,0,0,17,23
3,dad,male,SD-5,50,0,0,21,16
3,dad,male,SD-5,26,0,2,12,8
3,dad,female,SD-Mad,50,30,17,0,0
3,dad,female,SD-Mad,50,27,14,0,0
3,dad,female,SD-Mad,50,21,19,0,0
3,dad,female,SD-Mad,50,19,14,0,0
3,dad,male,SD-Mad,50,0,0,21,23
3,dad,male,SD-Mad,50,0,0,25,22
3,dad,male,SD-Mad,50,0,0,26,15
3,dad,male,SD-Mad,50,0,0,17,29
3,dad,male,SD-Mad,50,2,0,23,17
3,dad,female,SD-72,50,20,21,0,0
3,dad,female,SD-72,50,23,25,0,0
3,dad,female,SD-72,50,22,25,0,0
3,dad,female,SD-72,50,17,24,0,0
3,dad,female,SD-72,50,17,27,0,0
3,dad,female,SD-72,50,27,24,0,0
3,dad,female,SD-72,50,22,21,0,0
3,dad,female,SD-72,49,20,24,0,0
3,dad,male,SD-72,50,0,0,25,19
3,dad,male,SD-72,50,0,1,26,17
3,dad,male,SD-72,50,0,0,25,21
3,dad,male,SD-72,50,0,1,17,21
3,dad,male,SD-72,50,0,0,28,15
3,dad,male,SD-72,50,0,0,20,26
3,dad,male,SD-72,50,1,0,17,19
3,dad,male,SD-72,42,0,1,13,20
3,dad,female,LHm,50,48,0,0,0
3,dad,female,LHm,50,46,0,0,0
3,dad,female,LHm,50,45,0,0,0
3,dad,female,LHm,50,44,0,0,0
3,dad,female,LHm,50,46,0,0,0
3,dad,female,LHm,50,48,0,0,0
3,dad,female,LHm,50,49,0,0,0
3,dad,female,LHm,50,41,0,1,0
3,dad,female,LHm,30,23,0,0,0
3,dad,male,LHm,50,0,0,44,0
3,dad,male,LHm,50,0,0,44,0
3,dad,male,LHm,50,0,0,45,0
3,dad,male,LHm,50,0,0,47,0
3,dad,male,LHm,50,0,0,48,0
3,dad,male,LHm,50,0,0,47,0
3,dad,male,LHm,50,0,0,44,0
3,dad,male,LHm,31,0,0,23,0